t,lat,lng
0.0,19.076000,72.877700
5.5,19.076319,72.877876
11.0,19.076638,72.878051
16.5,19.076958,72.878227
22.0,19.077277,72.878402
31.0,19.077596,72.878578
36.5,19.077915,72.878753
42.0,19.078234,72.878929
47.5,19.078553,72.879104
53.0,19.078873,72.879280
58.5,19.079192,72.879456
64.0,19.079511,72.879631
69.5,19.079830,72.879807
75.0,19.080149,72.879982
84.0,19.080469,72.880158
89.5,19.080788,72.880333
95.0,19.081107,72.880509
100.5,19.081426,72.880684
106.0,19.081745,72.880860
111.5,19.082034,72.880932
117.0,19.082202,72.880596
122.5,19.082370,72.880259
128.0,19.082539,72.879923
137.0,19.082707,72.879586
142.5,19.082875,72.879250
148.0,19.083043,72.878913
153.5,19.083212,72.878577
159.0,19.083380,72.878240
164.5,19.083548,72.877904
170.0,19.083716,72.877567
175.5,19.083885,72.877231
181.0,19.084053,72.876894
190.0,19.084221,72.876558
195.5,19.084389,72.876222
201.0,19.084557,72.875885
206.5,19.084726,72.875549
212.0,19.084894,72.875212
217.5,19.085062,72.874876
223.0,19.085230,72.874539
228.5,19.085399,72.874203
234.0,19.085567,72.873866
243.0,19.085735,72.873530
248.5,19.085903,72.873193
254.0,19.086072,72.872857
259.5,19.086240,72.872520
265.0,19.086408,72.872184
270.5,19.086576,72.871848
276.0,19.086744,72.871511
281.5,19.086913,72.871175
287.0,19.087081,72.870838
296.0,19.087249,72.870502
301.5,19.087417,72.870165
307.0,19.087586,72.869829
312.5,19.087754,72.869492
318.0,19.087922,72.869156
323.5,19.088090,72.868819
329.0,19.088259,72.868483
334.5,19.088427,72.868146
340.0,19.088595,72.867810
349.0,19.088763,72.867473
354.5,19.088931,72.867137
360.0,19.089100,72.866801
365.5,19.089268,72.866464
371.0,19.089436,72.866128
376.5,19.089604,72.865791
382.0,19.089773,72.865455
387.5,19.089941,72.865118
393.0,19.090134,72.864798
402.0,19.090342,72.864487
407.5,19.090549,72.864176
413.0,19.090757,72.863865
418.5,19.090964,72.863554
424.0,19.091171,72.863243
429.5,19.091379,72.862932
435.0,19.091586,72.862621
440.5,19.091793,72.862310
446.0,19.092001,72.861999
455.0,19.092208,72.861688
460.5,19.092416,72.861377
466.0,19.092623,72.861066
471.5,19.092830,72.860755
477.0,19.093038,72.860443
482.5,19.093245,72.860132
488.0,19.093452,72.859821
493.5,19.093660,72.859510
499.0,19.093867,72.859199
508.0,19.094075,72.858888
513.5,19.094282,72.858577
519.0,19.094489,72.858266
524.5,19.094697,72.857955
530.0,19.094904,72.857644
535.5,19.095111,72.857333
541.0,19.095319,72.857022
546.5,19.095526,72.856711
552.0,19.095734,72.856400
561.0,19.095941,72.856089
566.5,19.096148,72.855778
572.0,19.096356,72.855467
577.5,19.096563,72.855155
583.0,19.096770,72.854844
588.5,19.096978,72.854533
594.0,19.097185,72.854222
599.5,19.097392,72.853911
605.0,19.097600,72.853600
614.0,19.097807,72.853289
619.5,19.098015,72.852978
625.0,19.098222,72.852667
630.5,19.098429,72.852356
636.0,19.098637,72.852045
641.5,19.098844,72.851734
647.0,19.099051,72.851423
652.5,19.099259,72.851112
658.0,19.099466,72.850801
667.0,19.099674,72.850490
672.5,19.099881,72.850179
678.0,19.100079,72.849861
683.5,19.100264,72.849534
689.0,19.100449,72.849208
694.5,19.100634,72.848881
700.0,19.100819,72.848555
705.5,19.101004,72.848228
711.0,19.101189,72.847902
720.0,19.101374,72.847576
725.5,19.101559,72.847249
731.0,19.101744,72.846923
736.5,19.101929,72.846596
742.0,19.102114,72.846270
747.5,19.102299,72.845943
753.0,19.102484,72.845617
758.5,19.102669,72.845290
764.0,19.102854,72.844964
773.0,19.103039,72.844637
778.5,19.103224,72.844311
784.0,19.103409,72.843984
789.5,19.103594,72.843658
795.0,19.103779,72.843331
800.5,19.103964,72.843005
806.0,19.104149,72.842678
811.5,19.104334,72.842352
817.0,19.104519,72.842025
